model,feature,standardized_coefficient,absolute_coefficient,imputation_median,training_mean_after_imputation,training_scale
X1+ direct,ABSNJZH__LOG1P,2.630285639803227,2.630285639803227,3.3720259618115094,3.3371485254847477,1.5850792827009934
X1+ direct,MEANSHR__LOG1P,1.1558250328072155,1.1558250328072155,3.47264944714249,3.4926779914065573,0.25240716647183953
X1+ direct,R_VALUE__LOG1P,1.1112957449566117,1.1112957449566117,1.3791438491660202,1.093702871119433,0.6442845325678055
X1+ direct,TOTPOT__LOG1P,-1.1074868575303574,1.1074868575303574,52.15277121441165,51.94647147673378,2.113154172294597
X1+ direct,PRIOR_M1_COUNT_30D__LOG1P,-1.065551083131691,1.065551083131691,0.0,0.16320930866985503,0.48157986247312035
X1+ direct,SAVNCPP__LOG1P,-1.0330089563691849,1.0330089563691849,28.136562294081273,28.03226334696837,1.6070730877528145
X1+ direct,TOTUSJH__DELTA24H,0.8530767932804101,0.8530767932804101,-0.07325766329078309,-0.07951757445214748,0.36720526409231014
X1+ direct,PRIOR_X1_COUNT_30D__LOG1P,-0.7015917230636569,0.7015917230636569,0.0,0.019508125326649056,0.1428612635616125
X1+ direct,MEANGBZ__DELTA24H,-0.6992328232062969,0.6992328232062969,-4.223882678022761e-05,-0.004086768028282842,0.13294545258593102
X1+ direct,MEANJZH__DELTA24H,0.6562541355513817,0.6562541355513817,2.8743831820456718e-05,4.901507483802098e-05,0.00819878117789621
X1+ direct,MEANGAM__LOG1P,-0.6288962048710808,0.6288962048710808,3.6737785058540116,3.687515169863027,0.23620983872494464
X1+ direct,MEANJZH__LOG1P,-0.6134460754482932,0.6134460754482932,-6.107313473534337e-05,0.0004816612739601363,0.011699566850585895
X1+ direct,HOURS_SINCE_M1__LOG1P,-0.5833147177778485,0.5833147177778485,6.580639137284949,6.200328863856494,1.0751943279263354
X1+ direct,MEANGBT__LOG1P,-0.5718936858221891,0.5718936858221891,4.695760152140739,4.688136977468557,0.20244993112668744
X1+ direct,ABSNJZH__DELTA24H,-0.5694655034894661,0.5694655034894661,-0.09259278682782494,-0.09068937656479639,0.8858518221993059
X1+ direct,TOTUSJZ__LOG1P,0.551269527671513,0.551269527671513,29.898378777551024,29.657116058077765,1.6101780028102117
X1+ direct,MEANSHR__DELTA24H,-0.5429619185409646,0.5429619185409646,-0.01995056306936749,-0.020945367248590196,0.1124119997820792
X1+ direct,HOURS_SINCE_X1__LOG1P,-0.5211158816489514,0.5211158816489514,6.580639137284949,6.530338665344586,0.3682542551097017
X1+ direct,AREA_ACR__DELTA24H,-0.47113372767118156,0.47113372767118156,-0.037499359707446445,-0.050056659978404305,0.25672934106846923
X1+ direct,PRIOR_X1_COUNT_7D__LOG1P,0.4708566622110103,0.4708566622110103,0.0,0.01684684037236326,0.13194183160994222
X1+ direct,MEANGBT__DELTA24H,0.45086822858687725,0.45086822858687725,-0.00042732217118102156,-0.005643109345905147,0.12508686611818173
X1+ direct,PRIOR_M1_COUNT_7D__LOG1P,0.44792291348728686,0.44792291348728686,0.0,0.15069975734035812,0.45765585897825345
X1+ direct,LAT_FWT_VALUE,-0.4014260953299538,0.4014260953299538,3.9581515,-0.294099569166883,16.822440126015128
X1+ direct,MEANPOT__DELTA24H,0.2898105953600552,0.2898105953600552,-0.0598475857245635,-0.061932993502842815,0.24721367643326092
X1+ direct,MEANGBZ__LOG1P,0.2874682885778338,0.2874682885778338,4.7052507873981355,4.705014422009421,0.197442042504848
