feature,standardized_coefficient,absolute_coefficient,missing_fraction
delta_magnetogram_zernike_6_0,-0.04648598691418903,0.04648598691418903,0.03437432227282585
t1_continuum_spot_contrast,0.04636273374961294,0.04636273374961294,0.03057905009759271
t0_131_q90,-0.04457420291223172,0.04457420291223172,0.017241379310344827
t0_131_gradient,0.04401518497209354,0.04401518497209354,0.017241379310344827
delta_193_median,0.043756044613188404,0.043756044613188404,0.036651485577965735
t1_magnetogram_zernike_6_4,0.0432140502823189,0.0432140502823189,0.03057905009759271
t0_193_bright_fraction,-0.042805843863269834,0.042805843863269834,0.017241379310344827
t3_continuum_q90,0.0427155209784216,0.0427155209784216,0.019952288006939926
t3_131_flagged,0.042006809556762476,0.042006809556762476,0.0
t1_131_q90,-0.04164490750071525,0.04164490750071525,0.0329646497505964
t2_magnetogram_zernike_4_0,0.04122405285402239,0.04122405285402239,0.01594014313597918
t1_193_dark_fraction,-0.041015656276453705,0.041015656276453705,0.03253090435914118
t0_continuum_spot_contrast,0.04088356911755421,0.04088356911755421,0.014855779657341141
t0_magnetogram_unsigned_field,-0.040113826107503726,0.040113826107503726,0.014855779657341141
t1_continuum_gradient,0.03935898571751164,0.03935898571751164,0.03057905009759271
t1_magnetogram_entropy,0.038848610229338776,0.038848610229338776,0.03057905009759271
t1_193_bright_fraction,-0.03863122327284406,0.03863122327284406,0.03253090435914118
delta_magnetogram_flux_imbalance,-0.03849410327060582,0.03849410327060582,0.03437432227282585
t0_131_median,-0.0380527715901364,0.0380527715901364,0.017241379310344827
t0_magnetogram_zernike_4_4,-0.03776334971816328,0.03776334971816328,0.014855779657341141
t0_continuum_dark_fraction,0.03771000695681422,0.03771000695681422,0.014855779657341141
t3_continuum_gradient,-0.03753330771769096,0.03753330771769096,0.019952288006939926
t3_193_entropy,0.037371506244545494,0.037371506244545494,0.022121014964216004
t0_magnetogram_zernike_2_0,0.0371693028406792,0.0371693028406792,0.014855779657341141
t1_193_gradient,0.03715045495659462,0.03715045495659462,0.03253090435914118
t1_magnetogram_pil_fraction,0.03651405714853934,0.03651405714853934,0.03057905009759271
t0_131_flagged,-0.035736497153946216,0.035736497153946216,0.0
t0_magnetogram_dark_fraction,-0.0353729622462218,0.0353729622462218,0.014855779657341141
t2_continuum_spot_dark_fraction,-0.03474260816184184,0.03474260816184184,0.01594014313597918
t0_magnetogram_zernike_4_0,0.03430869774811785,0.03430869774811785,0.014855779657341141
t2_continuum_gradient,0.034299047279027835,0.034299047279027835,0.01594014313597918
t3_magnetogram_strong_field_fraction,0.03376695402676623,0.03376695402676623,0.019952288006939926
t3_131_q90,0.033467159556888615,0.033467159556888615,0.021904142268488396
t0_131_bright_fraction,-0.03345069948625526,0.03345069948625526,0.017241379310344827
delta_193_gradient,-0.033197016245957695,0.033197016245957695,0.036651485577965735
delta_193_bright_fraction,-0.03267688776458955,0.03267688776458955,0.036651485577965735
t2_131_bright_fraction,-0.03185010568795032,0.03185010568795032,0.02006072435480373
delta_magnetogram_mean,-0.03139676503723453,0.03139676503723453,0.03437432227282585
t2_magnetogram_unsigned_field,-0.03068206127337383,0.03068206127337383,0.01594014313597918
